0,1,2,key
82827,513661,1078922,00000000000_1_1_SMG
35707,221439,465122,00000000000_1_1_AC1
49146,304781,640179,00000000000_1_1_CV1
38744,240273,504682,00000000000_1_1_GYR
88123,546504,1147907,00000000000_1_1_CTR
88966,551730,1158884,00000000000_1_1_CTB
49600,307600,646100,00000000000_1_1_VRY
160792,728591,1381132,00000000000_1_4_SMG
68306,309511,586715,00000000000_1_4_AC1
93096,423351,802895,00000000000_1_4_CV1
74392,337090,638994,00000000000_1_4_GYR
169958,770127,1459870,00000000000_1_4_CTR
171124,775411,1469885,00000000000_1_4_CTB
94300,427300,809990,00000000000_1_4_VRY
150984,684971,1211621,00000000000_2_1_SMG
64168,291111,514937,00000000000_2_1_AC1
87681,397784,703627,00000000000_2_1_CV1
69980,317477,561573,00000000000_2_1_GYR
159584,723988,1280638,00000000000_2_1_CTR
160680,728958,1289429,00000000000_2_1_CTB
88500,401500,710200,00000000000_2_1_VRY
209498,649648,1059772,00000000000_2_2_SMG
89168,276506,451064,00000000000_2_2_AC1
121600,377079,615130,00000000000_2_2_CV1
96881,300424,490081,00000000000_2_2_GYR
218762,678376,1106637,00000000000_2_2_CTR
222954,691373,1127838,00000000000_2_2_CTB
122800,380800,621200,00000000000_2_2_VRY
78623,479991,923810,00000000000_2_3_SMG
34116,208275,400854,00000000000_2_3_AC1
47042,287191,552738,00000000000_2_3_CV1
37073,226327,435597,00000000000_2_3_GYR
84485,515783,992695,00000000000_2_3_CTR
85118,519647,1000131,00000000000_2_3_CTB
47600,290600,559300,00000000000_2_3_VRY
88650,506618,1103401,00000000000_2_4_SMG
37731,215626,469627,00000000000_2_4_AC1
51350,293455,639138,00000000000_2_4_CV1
41333,234605,510562,00000000000_2_4_GYR
93290,529518,1152374,00000000000_2_4_CTR
95078,539663,1174452,00000000000_2_4_CTB
52600,300600,654700,00000000000_2_4_VRY
209942,650308,1170213,00000000000_2_5_SMG
89183,276248,497100,00000000000_2_5_AC1
121239,375544,675782,00000000000_2_5_CV1
96901,300157,540125,00000000000_2_5_GYR
221581,686360,1235088,00000000000_2_5_CTR
223205,691391,1244141,00000000000_2_5_CTB
123000,381000,685600,00000000000_2_5_VRY
220400,637965,1253873,00000000000_3_3_SMG
93671,271138,532901,00000000000_3_3_AC1
127794,369908,727027,00000000000_3_3_CV1
102064,295430,580646,00000000000_3_3_GYR
232849,673999,1324694,00000000000_3_3_CTR
234556,678939,1334405,00000000000_3_3_CTB
130900,378900,744700,00000000000_3_3_VRY
204048,646094,1246302,00000000000_3_4_SMG
87181,276047,532489,00000000000_3_4_AC1
120231,380698,734359,00000000000_3_4_CV1
94849,300328,579326,00000000000_3_4_GYR
215703,683000,1317492,00000000000_3_4_CTR
217761,689515,1330060,00000000000_3_4_CTB
121400,384400,741500,00000000000_3_4_VRY
156989,683087,1197251,00000000000_3_5_SMG
67172,292276,512273,00000000000_3_5_AC1
92546,402683,705785,00000000000_3_5_CV1
72842,316946,555513,00000000000_3_5_GYR
166111,722778,1266818,00000000000_3_5_CTR
167616,729327,1278295,00000000000_3_5_CTB
93400,406400,712301,00000000000_3_5_VRY
163630,638575,1192062,10000000000_1_1_SMG
70639,274762,512640,10000000000_1_1_AC1
96609,377020,703803,10000000000_1_1_CV1
76307,297791,555902,10000000000_1_1_GYR
174087,677141,1263384,10000000000_1_1_CTR
175054,683159,1275289,10000000000_1_1_CTB
97500,380501,710300,10000000000_1_1_VRY
202331,729197,1269361,10000000000_1_2_SMG
86572,312005,543127,10000000000_1_2_AC1
119393,430289,749032,10000000000_1_2_CV1
94213,339541,591061,10000000000_1_2_GYR
214795,774118,1347558,10000000000_1_2_CTR
216337,779675,1357232,10000000000_1_2_CTB
120200,433200,754101,10000000000_1_2_VRY
82697,549966,1122623,10000000000_1_3_SMG
35384,235317,480341,10000000000_1_3_AC1
48750,324208,661791,10000000000_1_3_CV1
38506,256077,522720,10000000000_1_3_GYR
87502,581922,1187853,10000000000_1_3_CTR
88292,587176,1198578,10000000000_1_3_CTB
49200,327200,667900,10000000000_1_3_VRY
59508,467914,929512,10000000000_1_4_SMG
26034,204705,406646,10000000000_1_4_AC1
35412,281407,559442,10000000000_1_4_CV1
28289,222439,441875,10000000000_1_4_GYR
64292,505533,1004243,10000000000_1_4_CTR
64810,509607,1012334,10000000000_1_4_CTB
35700,283700,564000,10000000000_1_4_VRY
35670,436957,878206,10000000000_1_5_SMG
15838,190701,382979,10000000000_1_5_AC1
21420,262394,527365,10000000000_1_5_CV1
17209,207212,416136,10000000000_1_5_GYR
38379,470140,944899,10000000000_1_5_CTR
38775,474985,954638,10000000000_1_5_CTB
21600,264600,531800,10000000000_1_5_VRY
87336,479523,931691,10000000000_2_1_SMG
38156,209498,407045,10000000000_2_1_AC1
52511,288314,560181,10000000000_2_1_CV1
41414,227386,441800,10000000000_2_1_GYR
94222,517330,1005148,10000000000_2_1_CTR
95003,521616,1013476,10000000000_2_1_CTB
53000,291000,565400,10000000000_2_1_VRY
90591,450969,884746,10000000000_2_2_SMG
39419,196229,384976,10000000000_2_2_AC1
54200,269811,529336,10000000000_2_2_CV1
42803,213077,418030,10000000000_2_2_GYR
97469,485209,951921,10000000000_2_2_CTR
98204,488868,959098,10000000000_2_2_CTB
