0,1,2,3,4,key
221575,852222,1725954,2379534,3099618,00000000000_1_1_SMG
4831,18581,37631,51881,67581,00000000000_1_1_PRS
94300,362696,734545,1012701,1319159,00000000000_1_1_AC1
4831,18581,37631,51881,67581,00000000000_1_1_WTF
130319,501231,1015113,1399513,1823027,00000000000_1_1_CV1
102754,395209,800394,1103484,1437415,00000000000_1_1_GYR
234050,900203,1823128,2513505,3274131,00000000000_1_1_CTR
235809,906967,1836825,2532389,3298729,00000000000_1_1_CTB
131610,506196,1025168,1413376,1841085,00000000000_1_1_VRY
121546,1042206,1962866,2764138,3675615,00000000000_1_4_SMG
2647,22697,42747,60197,80047,00000000000_1_4_PRS
51750,443736,835722,1176876,1564952,00000000000_1_4_AC1
2646,22686,42726,60168,80008,00000000000_1_4_WTF
71490,612999,1154508,1625796,2161903,00000000000_1_4_CV1
56350,483171,909993,1281467,1704031,00000000000_1_4_GYR
128391,1100902,2073413,2919813,3882623,00000000000_1_4_CTR
128942,1105624,2082306,2932336,3899275,00000000000_1_4_CTB
72122,618415,1164707,1640159,2181002,00000000000_1_4_VRY
119228,814760,1735250,2398646,3319135,00000000000_2_1_SMG
2597,17747,37797,52247,72297,00000000000_2_1_PRS
50783,347028,739089,1021647,1413708,00000000000_2_1_AC1
2597,17747,37797,52247,72297,00000000000_2_1_WTF
70120,479172,1020526,1410678,1952031,00000000000_2_1_CV1
55259,377616,804234,1111696,1538314,00000000000_2_1_GYR
125967,860812,1833329,2534220,3506737,00000000000_2_1_CTR
126827,866691,1845851,2551530,3530690,00000000000_2_1_CTB
70794,483780,1030339,1424243,1970802,00000000000_2_1_VRY
94786,797411,1718170,2407018,3325482,00000000000_2_2_SMG
2064,17364,37414,52415,72414,00000000000_2_2_PRS
40361,339542,731606,1024921,1416007,00000000000_2_2_AC1
2064,17364,37414,52415,72414,00000000000_2_2_WTF
55702,468603,1009693,1414499,1954240,00000000000_2_2_CV1
43952,369754,796704,1116117,1542002,00000000000_2_2_GYR
100066,841828,1813876,2541094,3510718,00000000000_2_2_CTR
100729,847410,1825903,2557943,3533996,00000000000_2_2_CTB
56292,473569,1020393,1429488,1974948,00000000000_2_2_VRY
205841,883402,1737817,2472798,3380040,00000000000_2_3_SMG
4481,19232,37831,53831,73581,00000000000_2_3_PRS
87759,376631,740904,1054256,1441051,00000000000_2_3_AC1
4483,19237,37842,53847,73603,00000000000_2_3_WTF
121035,519441,1021839,1454008,1987468,00000000000_2_3_CV1
95475,409747,806050,1146955,1567760,00000000000_2_3_GYR
217307,932609,1834618,2610539,3568317,00000000000_2_3_CTR
218963,939715,1848596,2630428,3595503,00000000000_2_3_CTB
122210,524485,1031761,1468127,2006767,00000000000_2_3_VRY
162905,801296,1513171,2167637,2907068,00000000000_2_4_SMG
3547,17447,32947,47197,63297,00000000000_2_4_PRS
69500,341857,645564,924779,1240243,00000000000_2_4_AC1
3548,17449,32951,47202,63303,00000000000_2_4_WTF
95714,470796,889054,1273581,1708028,00000000000_2_4_CV1
75524,371484,701512,1004925,1347729,00000000000_2_4_GYR
171779,844945,1595599,2285715,3065426,00000000000_2_4_CTR
173289,852370,1609620,2305801,3092363,00000000000_2_4_CTB
96700,475648,898215,1286704,1725629,00000000000_2_4_VRY
146872,808413,1571024,2133794,2836681,00000000000_2_5_SMG
3197,17597,34197,46447,61747,00000000000_2_5_PRS
62576,344428,669342,909112,1208581,00000000000_2_5_AC1
3197,17597,34197,46447,61747,00000000000_2_5_WTF
86320,475122,923325,1254077,1667180,00000000000_2_5_CV1
68058,374604,727983,988759,1314464,00000000000_2_5_GYR
154949,852870,1657418,2251135,2992677,00000000000_2_5_CTR
155855,857860,1667114,2264306,3010185,00000000000_2_5_CTB
87150,479689,932200,1266131,1683204,00000000000_2_5_VRY
89387,716056,1351906,1891346,2692472,00000000000_3_3_SMG
1947,15597,29447,41197,58647,00000000000_3_3_PRS
38061,304895,575640,805332,1146450,00000000000_3_3_AC1
1948,15599,29450,41202,58653,00000000000_3_3_WTF
52542,420899,794654,1111738,1582642,00000000000_3_3_CV1
41471,332215,627218,877491,1249174,00000000000_3_3_GYR
94219,754761,1424982,1993581,2838011,00000000000_3_3_CTR
94741,758943,1432878,2004627,2853736,00000000000_3_3_CTB
53006,424616,801671,1121556,1596618,00000000000_3_3_VRY
111404,668184,1522831,2171262,2792198,00000000000_3_4_SMG
2447,14597,33247,47397,60947,00000000000_3_4_PRS
47798,285123,649412,925803,1190474,00000000000_3_4_AC1
2432,14583,33235,47386,60938,00000000000_3_4_WTF
65699,394053,898069,1280473,1646662,00000000000_3_4_CV1
51757,310428,707483,1008735,1297212,00000000000_3_4_GYR
116824,704554,1606708,2291184,2946636,00000000000_3_4_CTR
118305,709577,1617168,2305768,2965170,00000000000_3_4_CTB
66164,396842,904425,1289534,1658315,00000000000_3_4_VRY
145898,751318,1670916,2319908,2973488,00000000000_3_5_SMG
3181,16381,36431,50581,64831,00000000000_3_5_PRS
62214,320376,712508,989250,1267947,00000000000_3_5_AC1
3181,16381,36431,50581,64831,00000000000_3_5_WTF
85950,442609,984353,1366681,1751711,00000000000_3_5_CV1
67710,348680,775456,1076648,1379968,00000000000_3_5_GYR
154007,793078,1763789,2448854,3138760,00000000000_3_5_CTR
154937,797868,1774440,2463643,3157715,00000000000_3_5_CTB
86634,446132,992187,1377558,1765652,00000000000_3_5_VRY
264825,841428,1684509,2550563,3285675,10000000000_1_1_SMG
5764,18314,36664,55514,71514,10000000000_1_1_PRS
112435,357239,715179,1082872,1394973,10000000000_1_1_AC1
5764,18314,36664,55514,71514,10000000000_1_1_WTF
155734,494813,990598,1499892,1932184,10000000000_1_1_CV1
122263,388465,777692,1177525,1516907,10000000000_1_1_GYR
279377,887664,1777072,2690715,3466221,10000000000_1_1_CTR
281864,895566,1792893,2714669,3497079,10000000000_1_1_CTB
157212,499509,999999,1514127,1950521,10000000000_1_1_VRY
195802,808828,1589462,2505558,3150728,10000000000_1_2_SMG
4264,17614,34614,54564,68614,10000000000_1_2_PRS
83183,343618,675257,1064446,1338536,10000000000_1_2_AC1
4264,17614,34614,54564,68614,10000000000_1_2_WTF
114507,474358,932595,1470350,1849069,10000000000_1_2_CV1
90528,373959,734881,1158434,1456726,10000000000_1_2_GYR
206652,853650,1677543,2644405,3325328,10000000000_1_2_CTR
208407,860901,1691791,2666866,3353572,10000000000_1_2_CTB
116240,480171,943603,1487454,1870468,10000000000_1_2_VRY
246498,777267,1698645,2362680,2987654,10000000000_1_3_SMG
5364,16914,36964,51414,65014,10000000000_1_3_PRS
104632,329930,721031,1002896,1268182,10000000000_1_3_AC1
5364,16914,36964,51414,65014,10000000000_1_3_WTF
144912,456942,998604,1388979,1756390,10000000000_1_3_CV1
113617,358260,782944,1089013,1377078,10000000000_1_3_GYR
259539,818389,1788514,2487682,3145722,10000000000_1_3_CTR
262331,827192,1807752,2514440,3179557,10000000000_1_3_CTB
146273,461234,1007984,1402026,1772889,10000000000_1_3_VRY
57270,670381,1499343,2218083,2879415,10000000000_1_4_SMG
