CV1_air_0_col_0_cycle_count,CV1_air_0_col_0_stability_observed,CV1_air_0_col_0_settling_time_s,CV1_air_1_col_0_cycle_count,CV1_air_1_col_0_stability_observed,CV1_air_1_col_0_settling_time_s,CTB_air_0_col_0_cycle_count,CTB_air_0_col_0_stability_observed,CTB_air_0_col_0_settling_time_s,CTB_air_1_col_0_cycle_count,CTB_air_1_col_0_stability_observed,CTB_air_1_col_0_settling_time_s,CTR_air_0_col_0_cycle_count,CTR_air_0_col_0_stability_observed,CTR_air_0_col_0_settling_time_s,CTR_air_1_col_0_cycle_count,CTR_air_1_col_0_stability_observed,CTR_air_1_col_0_settling_time_s,VRY_air_0_col_0_cycle_count,VRY_air_0_col_0_stability_observed,VRY_air_0_col_0_settling_time_s,VRY_air_0_col_1_cycle_count,VRY_air_0_col_1_stability_observed,VRY_air_0_col_1_settling_time_s,VRY_air_1_col_0_cycle_count,VRY_air_1_col_0_stability_observed,VRY_air_1_col_0_settling_time_s,VRY_air_1_col_1_cycle_count,VRY_air_1_col_1_stability_observed,VRY_air_1_col_1_settling_time_s,SMG_air_0_col_0_cycle_count,SMG_air_0_col_0_stability_observed,SMG_air_0_col_0_settling_time_s,SMG_air_1_col_0_cycle_count,SMG_air_1_col_0_stability_observed,SMG_air_1_col_0_settling_time_s,CV1_water_0_col_0_cycle_count,CV1_water_0_col_0_stability_observed,CV1_water_0_col_0_settling_time_s,CV1_water_1_col_0_cycle_count,CV1_water_1_col_0_stability_observed,CV1_water_1_col_0_settling_time_s,CV1_water_2_col_0_cycle_count,CV1_water_2_col_0_stability_observed,CV1_water_2_col_0_settling_time_s,CV1_water_3_col_0_cycle_count,CV1_water_3_col_0_stability_observed,CV1_water_3_col_0_settling_time_s,CTB_water_0_col_0_cycle_count,CTB_water_0_col_0_stability_observed,CTB_water_0_col_0_settling_time_s,CTB_water_1_col_0_cycle_count,CTB_water_1_col_0_stability_observed,CTB_water_1_col_0_settling_time_s,CTB_water_2_col_0_cycle_count,CTB_water_2_col_0_stability_observed,CTB_water_2_col_0_settling_time_s,CTB_water_3_col_0_cycle_count,CTB_water_3_col_0_stability_observed,CTB_water_3_col_0_settling_time_s,CTR_water_0_col_0_cycle_count,CTR_water_0_col_0_stability_observed,CTR_water_0_col_0_settling_time_s,CTR_water_1_col_0_cycle_count,CTR_water_1_col_0_stability_observed,CTR_water_1_col_0_settling_time_s,CTR_water_2_col_0_cycle_count,CTR_water_2_col_0_stability_observed,CTR_water_2_col_0_settling_time_s,CTR_water_3_col_0_cycle_count,CTR_water_3_col_0_stability_observed,CTR_water_3_col_0_settling_time_s,VRY_water_0_col_0_cycle_count,VRY_water_0_col_0_stability_observed,VRY_water_0_col_0_settling_time_s,VRY_water_0_col_1_cycle_count,VRY_water_0_col_1_stability_observed,VRY_water_0_col_1_settling_time_s,VRY_water_1_col_0_cycle_count,VRY_water_1_col_0_stability_observed,VRY_water_1_col_0_settling_time_s,VRY_water_1_col_1_cycle_count,VRY_water_1_col_1_stability_observed,VRY_water_1_col_1_settling_time_s,VRY_water_2_col_0_cycle_count,VRY_water_2_col_0_stability_observed,VRY_water_2_col_0_settling_time_s,VRY_water_2_col_1_cycle_count,VRY_water_2_col_1_stability_observed,VRY_water_2_col_1_settling_time_s,VRY_water_3_col_0_cycle_count,VRY_water_3_col_0_stability_observed,VRY_water_3_col_0_settling_time_s,VRY_water_3_col_1_cycle_count,VRY_water_3_col_1_stability_observed,VRY_water_3_col_1_settling_time_s,SMG_water_0_col_0_cycle_count,SMG_water_0_col_0_stability_observed,SMG_water_0_col_0_settling_time_s,SMG_water_1_col_0_cycle_count,SMG_water_1_col_0_stability_observed,SMG_water_1_col_0_settling_time_s,SMG_water_2_col_0_cycle_count,SMG_water_2_col_0_stability_observed,SMG_water_2_col_0_settling_time_s,SMG_water_3_col_0_cycle_count,SMG_water_3_col_0_stability_observed,SMG_water_3_col_0_settling_time_s,sample_id_key,fault_id,pump_id,sample_id,pump_id_key,fault_type
43.0,0.0,0.620010818298078,45.0,0.0,0.620010818298078,46.0,0.0,0.620002806251754,43.0,0.0,0.620002806251754,46.0,0.0,0.6200034162521351,46.0,0.0,0.6200034162521351,40.0,1.0,0.09372169111050413,39.0,1.0,0.34666750819143793,42.0,1.0,0.09823530426891916,42.0,0.0,0.6200163245900853,53.0,0.0,0.620003092859352,49.0,0.0,0.620003092859352,44.0,1.0,0.3359160054665155,43.0,1.0,0.15731552395783405,47.0,0.0,0.6200126116600254,46.0,1.0,0.35040314934929123,43.0,1.0,0.4907831879209215,46.0,1.0,0.10623679246625543,46.0,1.0,0.2098048345903634,47.0,0.0,0.619991762178431,45.0,0.0,0.6199959933328196,45.0,0.0,0.6199959933328196,44.0,0.0,0.6199959933328196,48.0,1.0,0.12587722229195158,45.0,0.0,0.6200004233143824,39.0,0.0,0.6200004233143824,45.0,0.0,0.6200004233143824,41.0,0.0,0.6200004233143824,44.0,1.0,0.4065166515466632,43.0,1.0,0.18155683967013478,45.0,0.0,0.6200004233143824,42.0,0.0,0.6200004233143824,47.0,0.0,0.6199903562149129,44.0,0.0,0.6199903562149129,44.0,0.0,0.6199903562149129,45.0,1.0,0.2477296021256219,00000000000_@1@1,00000000000_,1,1,00000000000_@1,nofault
51.0,1.0,0.43998119503851246,48.0,0.0,0.620002434570907,44.0,0.0,0.6200033961560232,44.0,0.0,0.6200033961560232,46.0,0.0,0.6199920461487475,45.0,1.0,0.5175940510218275,49.0,1.0,0.0357223107682849,54.0,0.0,0.6200160321185583,51.0,1.0,0.42072118607553843,48.0,1.0,0.4962876127007565,48.0,1.0,0.2754237468220464,43.0,0.0,0.6199919861055458,43.0,0.0,0.6200044259269505,43.0,1.0,0.07022067597700833,43.0,0.0,0.6200044259269505,47.0,0.0,0.6200044259269505,47.0,0.0,0.6200066776931639,47.0,1.0,0.37406891308575807,48.0,1.0,0.2089175290919909,46.0,0.0,0.6200066776931639,46.0,0.0,0.6200012144873353,43.0,1.0,0.5122440656723162,44.0,0.0,0.6200012144873353,44.0,0.0,0.6200012144873353,46.0,0.0,0.6200170276682603,41.0,0.0,0.6200170276682603,44.0,1.0,0.3809747612187667,40.0,0.0,0.6200170276682603,43.0,1.0,0.016031753295182156,46.0,1.0,0.2315411708710138,43.0,1.0,0.17583450517789234,44.0,0.0,0.6200170276682603,46.0,0.0,0.6200101338723298,45.0,1.0,0.21517190203923414,45.0,0.0,0.6200101338723298,45.0,1.0,0.2815649356942118,00000000000_@1@4,00000000000_,1,4,00000000000_@1,nofault
50.0,0.0,0.6199990098753209,47.0,0.0,0.6199990098753209,45.0,0.0,0.6199994256406575,44.0,0.0,0.6199994256406575,43.0,0.0,0.6199923044822465,43.0,0.0,0.6199923044822465,51.0,1.0,0.5259200492840115,53.0,1.0,0.19684404301733707,51.0,0.0,0.6200160321185583,51.0,0.0,0.6200160321185583,43.0,1.0,0.25692571453174623,41.0,1.0,0.20386023740294265,44.0,0.0,0.6200007391205414,45.0,1.0,0.5324681672380016,46.0,1.0,0.40753295336410955,45.0,0.0,0.6200007391205414,44.0,1.0,0.42732483427241463,44.0,0.0,0.6200005348718635,45.0,1.0,0.3228836085748216,45.0,1.0,0.3883260579905202,47.0,1.0,0.41931720875861644,48.0,0.0,0.6200012144873351,46.0,0.0,0.6200012144873351,46.0,0.0,0.6200012144873351,43.0,1.0,0.23165030967127206,44.0,1.0,0.40486432037739695,45.0,1.0,0.0973938316085786,43.0,1.0,0.2928797902221747,46.0,1.0,0.18596708978845575,44.0,0.0,0.62001280725914,43.0,1.0,0.3427895348729104,44.0,1.0,0.4583022943996133,44.0,0.0,0.6199976033598928,44.0,1.0,0.5313766372818061,41.0,0.0,0.6199976033598928,45.0,0.0,0.6199976033598928,00000000000_@2@1,00000000000_,2,1,00000000000_@2,nofault
49.0,0.0,0.6199942839435605,47.0,0.0,0.6199942839435605,46.0,0.0,0.6200033961560232,47.0,1.0,0.5254037162844335,50.0,1.0,0.3284017259734208,49.0,0.0,0.6199945965240253,52.0,1.0,0.16409993222213856,51.0,1.0,0.2589115751994756,54.0,0.0,0.6199908691245298,52.0,1.0,0.3263794214560759,39.0,0.0,0.619993993051384,44.0,1.0,0.10322344668294908,43.0,1.0,0.45787123098871085,44.0,0.0,0.6200014657410801,44.0,0.0,0.6200014657410801,47.0,0.0,0.6200014657410801,47.0,0.0,0.6200094635909569,46.0,1.0,0.5392458024674106,45.0,0.0,0.6200094635909569,44.0,0.0,0.6200094635909569,47.0,0.0,0.6200068225649772,45.0,0.0,0.6200068225649772,44.0,1.0,0.008537134684248035,47.0,0.0,0.6200068225649772,47.0,0.0,0.6200044560100807,45.0,0.0,0.6200044560100807,41.0,1.0,0.1165562813052792,45.0,1.0,0.19232521322567192,42.0,0.0,0.6200044560100807,43.0,1.0,0.02421519211228846,43.0,1.0,0.16719138711822837,44.0,1.0,0.4425611135059214,46.0,0.0,0.6199976033598928,46.0,1.0,0.515358959591258,44.0,0.0,0.6199976033598928,43.0,0.0,0.6199976033598928,00000000000_@2@2,00000000000_,2,2,00000000000_@2,nofault
46.0,0.0,0.61999847207307,44.0,0.0,0.61999847207307,46.0,0.0,0.6200025768953218,44.0,0.0,0.6200025768953218,47.0,0.0,0.6199950164817384,46.0,0.0,0.6199950164817384,39.0,0.0,0.6199893516062859,38.0,1.0,0.41023148633362944,40.0,1.0,0.17111632711098615,43.0,0.0,0.6199893516062859,40.0,1.0,0.1856021881925602,42.0,0.0,0.6199921790401706,45.0,0.0,0.6199884053213901,45.0,0.0,0.6199884053213901,47.0,0.0,0.6199884053213901,46.0,1.0,0.07154711470998025,44.0,0.0,0.6200000794871897,47.0,0.0,0.6200000794871897,46.0,0.0,0.6200000794871897,47.0,0.0,0.6200000794871897,45.0,1.0,0.48979578625587006,44.0,0.0,0.6199904799987794,45.0,0.0,0.6199904799987794,46.0,0.0,0.6199904799987794,45.0,0.0,0.6200166326568327,46.0,0.0,0.6200166326568327,44.0,1.0,0.25546743411959955,46.0,1.0,0.010878774348928422,42.0,0.0,0.6200166326568327,45.0,0.0,0.6200166326568327,45.0,0.0,0.6200166326568327,47.0,1.0,0.1075381545437992,46.0,0.0,0.6200057844093796,46.0,1.0,0.3725184328653807,46.0,1.0,0.46614991104165465,46.0,1.0,0.262565270774902,00000000000_@2@3,00000000000_,2,3,00000000000_@2,nofault
54.0,0.0,0.6200137284120103,45.0,0.0,0.6200137284120103,43.0,0.0,0.6200033961560232,46.0,0.0,0.6200033961560232,53.0,0.0,0.6199945965240253,50.0,1.0,0.4182653849065173,40.0,1.0,0.06199490221655802,40.0,1.0,0.27501525557250617,45.0,1.0,0.02076278973643304,38.0,0.0,0.6199857055396728,44.0,1.0,0.2068639436555164,38.0,1.0,0.010774163732058147,44.0,0.0,0.6199851615706393,44.0,1.0,0.28169327006788664,46.0,0.0,0.6199851615706393,46.0,0.0,0.6199851615706393,45.0,0.0,0.6200000794871897,47.0,0.0,0.6200000794871897,47.0,1.0,0.477169291944781,49.0,0.0,0.6200000794871897,46.0,0.0,0.6200060502571859,48.0,0.0,0.6200060502571859,46.0,1.0,0.009684361241584775,44.0,0.0,0.6200060502571859,43.0,0.0,0.6199843569125526,40.0,0.0,0.6199843569125526,42.0,0.0,0.6199843569125526,42.0,1.0,0.05267624709211953,43.0,0.0,0.6199843569125526,44.0,1.0,0.1214163601851157,44.0,1.0,0.2551103662381783,45.0,0.0,0.6199843569125526,44.0,0.0,0.6200019653228449,44.0,0.0,0.6200019653228449,43.0,0.0,0.6200019653228449,47.0,0.0,0.6200019653228449,00000000000_@2@4,00000000000_,2,4,00000000000_@2,nofault
56.0,1.0,0.47716477427749915,48.0,0.0,0.6199826851638088,44.0,1.0,0.36256048625672194,46.0,0.0,0.6200033961560232,46.0,0.0,0.6199928128159057,45.0,0.0,0.6199928128159057,55.0,1.0,0.20519905333216462,54.0,1.0,0.1991834459054888,47.0,1.0,0.2635355920192494,53.0,1.0,0.45919136690292217,42.0,1.0,0.1639717360914834,44.0,0.0,0.6199902527710089,45.0,0.0,0.6200093027799312,43.0,1.0,0.26454126123640304,47.0,1.0,0.06598686342288505,47.0,1.0,0.2887389186895645,46.0,0.0,0.6199966774354715,46.0,0.0,0.6199966774354715,45.0,0.0,0.6199966774354715,46.0,1.0,0.15255827802029207,47.0,0.0,0.6200058241033108,47.0,1.0,0.4638672358804149,46.0,1.0,0.526368156457456,46.0,0.0,0.6200058241033108,47.0,1.0,0.15707396532289464,45.0,0.0,0.6199881814032158,43.0,1.0,0.014042184590064535,44.0,1.0,0.17019715877486594,46.0,1.0,0.44828387716187695,46.0,1.0,0.24224606400137508,45.0,0.0,0.6199881814032158,46.0,0.0,0.6199881814032158,47.0,0.0,0.6200089341409859,46.0,0.0,0.6200089341409859,47.0,0.0,0.6200089341409859,45.0,0.0,0.6200089341409859,00000000000_@2@5,00000000000_,2,5,00000000000_@2,nofault
52.0,0.0,0.6200086370477,51.0,0.0,0.6200086370477,44.0,1.0,0.2550487583645887,44.0,0.0,0.6200033961560232,46.0,1.0,0.3268783172296905,44.0,0.0,0.6199928128159057,42.0,1.0,0.14028682254091393,36.0,0.0,0.6199973555526174,42.0,0.0,0.6199973555526174,43.0,1.0,0.20012688902987671,46.0,0.0,0.619993993051384,42.0,1.0,0.4384601003195141,44.0,0.0,0.6199950539417265,47.0,0.0,0.6199950539417265,46.0,0.0,0.6199950539417265,47.0,0.0,0.6199950539417265,46.0,0.0,0.6199919865374341,46.0,1.0,0.36175637650722775,47.0,1.0,0.5271589618152515,46.0,1.0,0.36892272357983635,46.0,0.0,0.6199899019217823,47.0,0.0,0.6199899019217823,45.0,0.0,0.6199899019217823,47.0,0.0,0.6199899019217823,44.0,0.0,0.6200155005749715,42.0,0.0,0.6200155005749715,44.0,1.0,0.0717738335483048,43.0,0.0,0.6200155005749715,46.0,1.0,0.08222704828046817,42.0,1.0,0.4982208261076173,45.0,0.0,0.6200155005749715,48.0,0.0,0.6200155005749715,46.0,0.0,0.6199994202701918,43.0,0.0,0.6199994202701918,47.0,0.0,0.6199994202701918,45.0,1.0,0.1229915064853387,00000000000_@3@3,00000000000_,3,3,00000000000_@3,nofault
43.0,0.0,0.6199892799877486,45.0,0.0,0.6199892799877486,43.0,0.0,0.6200036350022718,44.0,0.0,0.6200036350022718,48.0,0.0,0.6199968718730449,45.0,0.0,0.6199968718730449,47.0,0.0,0.6200142914449045,43.0,1.0,0.28799121256138577,46.0,0.0,0.6200142914449045,46.0,0.0,0.6200142914449045,47.0,1.0,0.49632458308898797,44.0,1.0,0.3610051150036536,37.0,0.0,0.6200121371456314,41.0,0.0,0.6200121371456314,44.0,1.0,0.3955173118896713,42.0,1.0,0.2716632127230201,44.0,0.0,0.6199919865374341,47.0,0.0,0.6199919865374341,47.0,1.0,0.5095519884041011,43.0,0.0,0.6199919865374341,43.0,0.0,0.6199992732050351,46.0,1.0,0.5648297585679178,46.0,0.0,0.6199992732050351,46.0,0.0,0.6199992732050351,46.0,0.0,0.6200003181715013,43.0,1.0,0.41236391276889434,43.0,0.0,0.6200003181715013,42.0,0.0,0.6200003181715013,45.0,0.0,0.6200003181715013,43.0,0.0,0.6200003181715013,45.0,1.0,0.2264890103974881,42.0,1.0,0.26238996717484964,49.0,0.0,0.6199981416213705,45.0,1.0,0.5164500762770373,45.0,1.0,0.1528181374078564,46.0,0.0,0.6199981416213705,00000000000_@3@4,00000000000_,3,4,00000000000_@3,nofault
46.0,0.0,0.6199916251332859,45.0,0.0,0.6199916251332859,45.0,1.0,0.31377583048489405,47.0,0.0,0.6199915381197113,47.0,1.0,0.5274910609319131,45.0,0.0,0.6200061500038438,48.0,1.0,0.0429083050380629,42.0,1.0,0.49618472706825945,45.0,1.0,0.22329231919122192,44.0,0.0,0.6199827245516851,47.0,0.0,0.6200035678596914,46.0,0.0,0.6200035678596914,41.0,1.0,0.47954527258177654,42.0,1.0,0.3269896546262067,43.0,1.0,0.010086321848302136,45.0,0.0,0.6200121371456313,46.0,0.0,0.6200069282060164,44.0,0.0,0.6200069282060164,47.0,1.0,0.48209961411533514,44.0,1.0,0.48358071892060495,47.0,0.0,0.6200054253853109,47.0,0.0,0.6200054253853109,45.0,1.0,0.5338515956219994,45.0,0.0,0.6200054253853109,44.0,0.0,0.6200094923450269,42.0,0.0,0.6200094923450269,42.0,0.0,0.6200094923450269,44.0,0.0,0.6200094923450269,42.0,1.0,0.2720198294902468,41.0,1.0,0.1274380158715465,46.0,1.0,0.2617556244012856,44.0,0.0,0.6200094923450269,49.0,0.0,0.6199945345938559,42.0,0.0,0.6199945345938559,47.0,0.0,0.6199945345938559,43.0,0.0,0.6199945345938559,00000000000_@3@5,00000000000_,3,5,00000000000_@3,nofault
