fault_id,pump_id,sample_id,state,AC1,GYR,CTB,CTR,CV1,VRY,PRS,SMG,WTF
00000000000_,1,1,air,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In air_ Jul 27 11_43_30 2023\AC1 No Fault_1_1_In air_ Jul 27 11_43_30 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In air_ Jul 27 11_43_30 2023\GYR No Fault_1_1_In air_ Jul 27 11_43_30 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In air_ Jul 27 11_43_30 2023\CTB No Fault_1_1_In air_ Jul 27 11_43_30 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In air_ Jul 27 11_43_30 2023\CTR No Fault_1_1_In air_ Jul 27 11_43_30 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In air_ Jul 27 11_43_30 2023\CV1 No Fault_1_1_In air_ Jul 27 11_43_30 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In air_ Jul 27 11_43_30 2023\VRY No Fault_1_1_In air_ Jul 27 11_43_30 2023.csv,,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In air_ Jul 27 11_43_30 2023\SMG No Fault_1_1_In air_ Jul 27 11_43_30 2023.csv,
00000000000_,1,1,water,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In water_ Jul 27 11_45_45 2023\AC1 No Fault_1_1_In water_ Jul 27 11_45_45 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In water_ Jul 27 11_45_45 2023\GYR No Fault_1_1_In water_ Jul 27 11_45_45 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In water_ Jul 27 11_45_45 2023\CTB No Fault_1_1_In water_ Jul 27 11_45_45 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In water_ Jul 27 11_45_45 2023\CTR No Fault_1_1_In water_ Jul 27 11_45_45 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In water_ Jul 27 11_45_45 2023\CV1 No Fault_1_1_In water_ Jul 27 11_45_45 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In water_ Jul 27 11_45_45 2023\VRY No Fault_1_1_In water_ Jul 27 11_45_45 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In water_ Jul 27 11_45_45 2023\PRS No Fault_1_1_In water_ Jul 27 11_45_45 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In water_ Jul 27 11_45_45 2023\SMG No Fault_1_1_In water_ Jul 27 11_45_45 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230727-31\No Fault_1_1_In water_ Jul 27 11_45_45 2023\WTF No Fault_1_1_In water_ Jul 27 11_45_45 2023.csv
00000000000_,1,4,air,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In air_ Jul 26 14_21_37 2023\AC1 No Fault_1_4_In air_ Jul 26 14_21_37 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In air_ Jul 26 14_21_37 2023\GYR No Fault_1_4_In air_ Jul 26 14_21_37 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In air_ Jul 26 14_21_37 2023\CTB No Fault_1_4_In air_ Jul 26 14_21_37 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In air_ Jul 26 14_21_37 2023\CTR No Fault_1_4_In air_ Jul 26 14_21_37 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In air_ Jul 26 14_21_37 2023\CV1 No Fault_1_4_In air_ Jul 26 14_21_37 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In air_ Jul 26 14_21_37 2023\VRY No Fault_1_4_In air_ Jul 26 14_21_37 2023.csv,,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In air_ Jul 26 14_21_37 2023\SMG No Fault_1_4_In air_ Jul 26 14_21_37 2023.csv,
00000000000_,1,4,water,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In water_ Jul 26 14_24_19 2023\AC1 No Fault_1_4_In water_ Jul 26 14_24_19 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In water_ Jul 26 14_24_19 2023\GYR No Fault_1_4_In water_ Jul 26 14_24_19 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In water_ Jul 26 14_24_19 2023\CTB No Fault_1_4_In water_ Jul 26 14_24_19 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In water_ Jul 26 14_24_19 2023\CTR No Fault_1_4_In water_ Jul 26 14_24_19 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In water_ Jul 26 14_24_19 2023\CV1 No Fault_1_4_In water_ Jul 26 14_24_19 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In water_ Jul 26 14_24_19 2023\VRY No Fault_1_4_In water_ Jul 26 14_24_19 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In water_ Jul 26 14_24_19 2023\PRS No Fault_1_4_In water_ Jul 26 14_24_19 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In water_ Jul 26 14_24_19 2023\SMG No Fault_1_4_In water_ Jul 26 14_24_19 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_1_4_In water_ Jul 26 14_24_19 2023\WTF No Fault_1_4_In water_ Jul 26 14_24_19 2023.csv
00000000000_,2,1,air,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In air_ Jul 26 15_02_24 2023\AC1 No Fault_2_1_In air_ Jul 26 15_02_24 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In air_ Jul 26 15_02_24 2023\GYR No Fault_2_1_In air_ Jul 26 15_02_24 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In air_ Jul 26 15_02_24 2023\CTB No Fault_2_1_In air_ Jul 26 15_02_24 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In air_ Jul 26 15_02_24 2023\CTR No Fault_2_1_In air_ Jul 26 15_02_24 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In air_ Jul 26 15_02_24 2023\CV1 No Fault_2_1_In air_ Jul 26 15_02_24 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In air_ Jul 26 15_02_24 2023\VRY No Fault_2_1_In air_ Jul 26 15_02_24 2023.csv,,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In air_ Jul 26 15_02_24 2023\SMG No Fault_2_1_In air_ Jul 26 15_02_24 2023.csv,
00000000000_,2,1,water,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In water_ Jul 26 15_04_29 2023\AC1 No Fault_2_1_In water_ Jul 26 15_04_29 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In water_ Jul 26 15_04_29 2023\GYR No Fault_2_1_In water_ Jul 26 15_04_29 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In water_ Jul 26 15_04_29 2023\CTB No Fault_2_1_In water_ Jul 26 15_04_29 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In water_ Jul 26 15_04_29 2023\CTR No Fault_2_1_In water_ Jul 26 15_04_29 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In water_ Jul 26 15_04_29 2023\CV1 No Fault_2_1_In water_ Jul 26 15_04_29 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In water_ Jul 26 15_04_29 2023\VRY No Fault_2_1_In water_ Jul 26 15_04_29 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In water_ Jul 26 15_04_29 2023\PRS No Fault_2_1_In water_ Jul 26 15_04_29 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In water_ Jul 26 15_04_29 2023\SMG No Fault_2_1_In water_ Jul 26 15_04_29 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_1_In water_ Jul 26 15_04_29 2023\WTF No Fault_2_1_In water_ Jul 26 15_04_29 2023.csv
00000000000_,2,2,air,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In air_ Jul 26 15_08_40 2023\AC1 No Fault_2_2_In air_ Jul 26 15_08_40 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In air_ Jul 26 15_08_40 2023\GYR No Fault_2_2_In air_ Jul 26 15_08_40 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In air_ Jul 26 15_08_40 2023\CTB No Fault_2_2_In air_ Jul 26 15_08_40 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In air_ Jul 26 15_08_40 2023\CTR No Fault_2_2_In air_ Jul 26 15_08_40 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In air_ Jul 26 15_08_40 2023\CV1 No Fault_2_2_In air_ Jul 26 15_08_40 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In air_ Jul 26 15_08_40 2023\VRY No Fault_2_2_In air_ Jul 26 15_08_40 2023.csv,,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In air_ Jul 26 15_08_40 2023\SMG No Fault_2_2_In air_ Jul 26 15_08_40 2023.csv,
00000000000_,2,2,water,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In water_ Jul 26 15_11_01 2023\AC1 No Fault_2_2_In water_ Jul 26 15_11_01 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In water_ Jul 26 15_11_01 2023\GYR No Fault_2_2_In water_ Jul 26 15_11_01 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In water_ Jul 26 15_11_01 2023\CTB No Fault_2_2_In water_ Jul 26 15_11_01 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In water_ Jul 26 15_11_01 2023\CTR No Fault_2_2_In water_ Jul 26 15_11_01 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In water_ Jul 26 15_11_01 2023\CV1 No Fault_2_2_In water_ Jul 26 15_11_01 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In water_ Jul 26 15_11_01 2023\VRY No Fault_2_2_In water_ Jul 26 15_11_01 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In water_ Jul 26 15_11_01 2023\PRS No Fault_2_2_In water_ Jul 26 15_11_01 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In water_ Jul 26 15_11_01 2023\SMG No Fault_2_2_In water_ Jul 26 15_11_01 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_2_In water_ Jul 26 15_11_01 2023\WTF No Fault_2_2_In water_ Jul 26 15_11_01 2023.csv
00000000000_,2,3,air,D:\VGuard Ahemedebad Data\Primary_20230808\No Fault_2_3_In air_ Aug  8 16_07_07 2023\AC1 No Fault_2_3_In air_ Aug  8 16_07_07 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230808\No Fault_2_3_In air_ Aug  8 16_07_07 2023\GYR No Fault_2_3_In air_ Aug  8 16_07_07 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230808\No Fault_2_3_In air_ Aug  8 16_07_07 2023\CTB No Fault_2_3_In air_ Aug  8 16_07_07 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230808\No Fault_2_3_In air_ Aug  8 16_07_07 2023\CTR No Fault_2_3_In air_ Aug  8 16_07_07 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230808\No Fault_2_3_In air_ Aug  8 16_07_07 2023\CV1 No Fault_2_3_In air_ Aug  8 16_07_07 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230808\No Fault_2_3_In air_ Aug  8 16_07_07 2023\VRY No Fault_2_3_In air_ Aug  8 16_07_07 2023.csv,,D:\VGuard Ahemedebad Data\Primary_20230808\No Fault_2_3_In air_ Aug  8 16_07_07 2023\SMG No Fault_2_3_In air_ Aug  8 16_07_07 2023.csv,
00000000000_,2,3,water,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_3_In water_ Jul 26 15_22_36 2023\AC1 No Fault_2_3_In water_ Jul 26 15_22_36 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_3_In water_ Jul 26 15_22_36 2023\GYR No Fault_2_3_In water_ Jul 26 15_22_36 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_3_In water_ Jul 26 15_22_36 2023\CTB No Fault_2_3_In water_ Jul 26 15_22_36 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_3_In water_ Jul 26 15_22_36 2023\CTR No Fault_2_3_In water_ Jul 26 15_22_36 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_3_In water_ Jul 26 15_22_36 2023\CV1 No Fault_2_3_In water_ Jul 26 15_22_36 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_3_In water_ Jul 26 15_22_36 2023\VRY No Fault_2_3_In water_ Jul 26 15_22_36 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_3_In water_ Jul 26 15_22_36 2023\PRS No Fault_2_3_In water_ Jul 26 15_22_36 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_3_In water_ Jul 26 15_22_36 2023\SMG No Fault_2_3_In water_ Jul 26 15_22_36 2023.csv,D:\VGuard Ahemedebad Data\Primary_20230726\No Fault_2_3_In water_ Jul 26 15_22_36 2023\WTF No Fault_2_3_In water_ Jul 26 15_22_36 2023.csv
