id,indices,key,state
AC1_00000000000_@1@1@air,35707#221439#465122,AC1,air
GYR_00000000000_@1@1@air,38744#240273#504682,GYR,air
CTB_00000000000_@1@1@air,88966#551730#1158884,CTB,air
CTR_00000000000_@1@1@air,88123#546504#1147907,CTR,air
CV1_00000000000_@1@1@air,49146#304781#640179,CV1,air
VRY_00000000000_@1@1@air,49600#307600#646100,VRY,air
SMG_00000000000_@1@1@air,82827#513661#1078922,SMG,air
AC1_00000000000_@1@1@water,94300#362696#734545#1012701#1319159,AC1,water
GYR_00000000000_@1@1@water,102754#395209#800394#1103484#1437415,GYR,water
CTB_00000000000_@1@1@water,235809#906967#1836825#2532389#3298729,CTB,water
CTR_00000000000_@1@1@water,234050#900203#1823128#2513505#3274131,CTR,water
CV1_00000000000_@1@1@water,130319#501231#1015113#1399513#1823027,CV1,water
VRY_00000000000_@1@1@water,131610#506196#1025168#1413376#1841085,VRY,water
PRS_00000000000_@1@1@water,4831#18581#37631#51881#67581,PRS,water
SMG_00000000000_@1@1@water,221575#852222#1725954#2379534#3099618,SMG,water
WTF_00000000000_@1@1@water,4831#18581#37631#51881#67581,WTF,water
AC1_00000000000_@1@4@air,68306#309511#586715,AC1,air
GYR_00000000000_@1@4@air,74392#337090#638994,GYR,air
CTB_00000000000_@1@4@air,171124#775411#1469885,CTB,air
CTR_00000000000_@1@4@air,169958#770127#1459870,CTR,air
CV1_00000000000_@1@4@air,93096#423351#802895,CV1,air
VRY_00000000000_@1@4@air,94300#427300#809990,VRY,air
SMG_00000000000_@1@4@air,160792#728591#1381132,SMG,air
AC1_00000000000_@1@4@water,51750#443736#835722#1176876#1564952,AC1,water
GYR_00000000000_@1@4@water,56350#483171#909993#1281467#1704031,GYR,water
CTB_00000000000_@1@4@water,128942#1105624#2082306#2932336#3899275,CTB,water
CTR_00000000000_@1@4@water,128391#1100902#2073413#2919813#3882623,CTR,water
CV1_00000000000_@1@4@water,71490#612999#1154508#1625796#2161903,CV1,water
VRY_00000000000_@1@4@water,72122#618415#1164707#1640159#2181002,VRY,water
PRS_00000000000_@1@4@water,2647#22697#42747#60197#80047,PRS,water
SMG_00000000000_@1@4@water,121546#1042206#1962866#2764138#3675615,SMG,water
WTF_00000000000_@1@4@water,2646#22686#42726#60168#80008,WTF,water
AC1_00000000000_@2@1@air,64168#291111#514937,AC1,air
GYR_00000000000_@2@1@air,69980#317477#561573,GYR,air
